"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","OnLandmasswithHighMountains","Distancetohighmountain"
"4561","nava1243","Navajo","North America",36.2106,-110.082,"nava1243","nav","US","atha1245","",FALSE,FALSE,706.488875431553,TRUE,TRUE,193.708126905347
"4562","lish1245","Lishanid Noshan","Eurasia",36.213298,44.065281,"lish1245","aij","IL","afro1255","",FALSE,FALSE,438.829012507315,TRUE,TRUE,368.689699341547
"4563","buru1296","Burushaski","Eurasia",36.2161,74.8236,"buru1296","bsk","IN;PK","","",TRUE,TRUE,1253.55630390744,TRUE,TRUE,0
"4564","lish1246","Lishán Didán","Eurasia",36.23,44.37,"lish1246","trg","AZ;GE;IL","afro1255","",FALSE,FALSE,413.83902694655,TRUE,TRUE,365.513796174194
"4565","maza1291","Mazanderani","Eurasia",36.241,52.3009,"maza1291","mzn","IR","indo1319","",FALSE,FALSE,45.1358237107447,TRUE,TRUE,510.467827055069
"4566","raza1238","Razajerdi","Eurasia",36.267,50.002,"raza1238","rat","IR","indo1319","",FALSE,FALSE,85.1584563594161,TRUE,TRUE,434.7169607592
"4567","pawn1254","Pawnee","North America",36.2862,-96.8937,"pawn1254","paw","US","cadd1255","",FALSE,FALSE,677.296471084303,TRUE,TRUE,701.450318682073
"4568","nort3142","North Mesopotamian Arabic","Eurasia",36.2986,42.0047,"nort3142","ayp","IQ;JO;SY;TR","afro1255","",FALSE,FALSE,519.145676040437,TRUE,TRUE,411.747362407423
"4569","yoku1256","Northern Yokuts","North America",36.3167,-119.721,"yoku1256","yok","US","yoku1255","",FALSE,FALSE,167.398070854412,TRUE,TRUE,46.021176400905
"4570","doma1260","Domaaki","Eurasia",36.3258,74.7984,"doma1260","dmk","PK","indo1319","",FALSE,FALSE,1261.88634591908,TRUE,TRUE,0
"4571","mily1238","Milyan","Eurasia",36.356111,29.318611,"mily1238","imy","TR","indo1319","",FALSE,FALSE,7.47265955582567,TRUE,TRUE,995.710910273726
"4572","chal1270","Chalon","North America",36.374637,-121.151328,"chal1270","","US","miwo1274","",FALSE,FALSE,53.1300506990204,TRUE,TRUE,144.987817026139
"4573","shab1251","Shabaki","Eurasia",36.375,43.144,"shab1251","sdb","IQ","indo1319","",FALSE,FALSE,511.040777097389,TRUE,TRUE,365.947989113678
"4574","kaby1243","Kabyle","Africa",36.4103,4.76137,"kaby1243","kab","DZ","afro1255","",FALSE,FALSE,43.3958959240368,TRUE,TRUE,5486.38196226025
"4575","goza1238","Alamuti","Eurasia",36.4133,50.6987,"goza1238","goz","IR","indo1319","",FALSE,FALSE,42.8619297522946,TRUE,TRUE,434.787230727708
"4576","nort1550","Taos Northern Tiwa","North America",36.4277,-105.604,"nort1550","twf","US","kiow1265","",FALSE,FALSE,989.653455590817,TRUE,TRUE,0
"4577","khor1269","Khorasan Turkic","Eurasia",36.4438,60.0277,"khor1269","kmz","IR","turk1311","",FALSE,FALSE,540.735906729555,TRUE,TRUE,190.050799880564
"4578","sang1344","Sanglechi","Eurasia",36.45,71.3,"sang1344","sgy","AF","indo1319","",FALSE,FALSE,1177.98577261298,TRUE,TRUE,0
"4579","pary1242","Parya","Eurasia",36.4922,69.26,"pary1242","paq","AF;TJ;UZ","indo1319","",FALSE,FALSE,1162.57326062403,TRUE,TRUE,0
"4580","sout2697","South Azerbaijani","Eurasia",36.5137,48.4302,"sout2697","azb","AF;AZ;IR;IQ;TR","turk1311","",FALSE,FALSE,123.622983708136,TRUE,TRUE,401.176261345933
"4581","lyci1241","Lycian A","Eurasia",36.517,29.764,"lyci1241","xlc","TR","indo1319","",FALSE,FALSE,34.8188641496819,TRUE,TRUE,988.165385538388
"4582","puni1241","Punic","Africa",36.527295,10.356444,"puni1241","xpu","TN","afro1255","",FALSE,FALSE,21.5214579053786,TRUE,TRUE,5163.93865788608
"4583","anda1287","Andalusian Arabic","Eurasia",36.54,-5.2,"anda1287","xaa","ES","afro1255","",FALSE,FALSE,13.0832942322508,TRUE,TRUE,721.473235451207
"4584","esse1238","Esselen","North America",36.5473,-121.867,"esse1238","esq","US","","",TRUE,TRUE,5.49708994563331,TRUE,TRUE,178.462595988465
"4585","chen1266","Western Algerian Berber","Africa",36.5917,2.19899,"chen1266","cnu","DZ","afro1255","",FALSE,FALSE,1.23671353791688,TRUE,TRUE,5665.47710804115
"4586","uppe1235","Upper Taromi","Eurasia",36.5998,48.7301,"uppe1235","tov","IR","indo1319","",FALSE,FALSE,105.021236678663,TRUE,TRUE,389.294958734322
"4587","sout2699","Southern Uzbek","Eurasia",36.6099,60.6907,"sout2699","uzs","AF;PK;TJ;TR;UZ","turk1311","",FALSE,FALSE,594.405274388647,TRUE,TRUE,172.808796313353
