"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide","Distancetosea","OnLandmasswithMountains","Distancetomountain"
"180","maha1309","Mahafaly Malagasy","Africa",-24.2,44.5,"maha1309","","MG","aust1307","",FALSE,FALSE,71.3120598220549,TRUE,109.586736745323
"181","djiw1240","Djiwarli-Thiin","Australia",-24.10724,116.98858,"djiw1240","djl","AU","pama1250","",FALSE,FALSE,271.407365694611,TRUE,1408.39962489151
"182","djiw1241","Djiwarli","Australia",-24.10724,116.98858,"djiw1241","dze","AU","pama1250","",FALSE,FALSE,271.407365694611,TRUE,1408.39962489151
"183","dhar1247","Dhargari","Australia",-24.0601,114.847,"dhar1247","dhr","AU","pama1250","",FALSE,FALSE,107.038229097528,TRUE,1622.60539997602
"184","west2441","Western Arrarnta","Australia",-24.05052,133.24621,"west2441","are","AU","pama1250","",FALSE,FALSE,893.326905521991,TRUE,249.053158920836
"185","bara1369","Bara Malagasy","Africa",-23.9716,45.5937,"bara1369","bhr","MG","aust1307","",FALSE,FALSE,139.748713827514,TRUE,0
"186","tupi1274","Lingua Geral Paulista","South America",-23.95,-46.38,"tupi1274","tpw","BR","tupi1275","",FALSE,FALSE,1.29264908860888,TRUE,5.06590800763204
"187","hoaa1235","Amkoe","Africa",-23.93447,24.69828,"hoaa1235","huc","BW","kxaa1236","",FALSE,FALSE,736.558612396715,TRUE,474.804185353998
"188","wadj1255","Wadjigu","Australia",-23.8029,147.421,"wadj1255","wdu","AU","pama1250","",FALSE,FALSE,279.023614612464,TRUE,686.816881599051
"189","gito1238","Gitonga","Africa",-23.7964,35.1577,"gito1238","toh","MZ","atla1278","",FALSE,FALSE,18.0135271152174,TRUE,402.293814746614
"190","toba1269","Toba","South America",-23.77,-61.96,"toba1269","tob","AR;BO;PY","guai1249","",FALSE,FALSE,776.798113468461,TRUE,224.263755749064
"191","thii1234","Thiin","Australia",-23.71156576435,116.68011572516,"thii1234","iin","AU","pama1250","",FALSE,FALSE,229.904137370779,TRUE,1448.8206358459
"192","xooo1239","West !Xoon","Africa",-23.59,19.15,"xooo1239","","BW;NA;ZA","tuuu1241","",FALSE,FALSE,426.469484079116,TRUE,794.526255121021
"193","tson1249","Tsonga","Africa",-23.5754,31.8105,"tson1249","tso","SZ;MZ;ZA;ZW","atla1278","",FALSE,FALSE,218.902047546566,TRUE,133.717777247438
"194","saop1235","São Paulo Kaingáng","South America",-23.5708,-46.7609,"saop1235","zkp","BR","nucl1710","",FALSE,FALSE,49.2883017023486,TRUE,27.0763032511834
"195","sout2989","Southern Lengua","South America",-23.427556,-57.945626,"sout2989","enx","","leng1261","",FALSE,FALSE,890.989921388885,TRUE,586.937353398573
"196","tswa1237","Tswapong","Africa",-23.40552,27.42009,"tswa1237","two","BW;ZA","atla1278","",FALSE,FALSE,527.292283549649,TRUE,217.146929341197
"197","bayu1240","Bayungu","Australia",-23.3809,114.108,"bayu1240","bxj","AU","pama1250","",FALSE,FALSE,29.4932760171802,TRUE,1712.63804709986
"198","east2379","Eastern Arrernte","Australia",-23.3583,135.046,"east2379","aer","AU","pama1250","",FALSE,FALSE,829.696954202584,TRUE,419.216195248842
"199","mart1256","Martu Wangka","Australia",-23.350911655789,123.66842240336,"mart1256","mpj","AU","pama1250","",FALSE,FALSE,434.852203215686,TRUE,783.358267380027
"200","vezo1235","Vezo","Africa",-23.34,43.67,"vezo1235","","","aust1307","masi1268",FALSE,FALSE,2.23088595152095,TRUE,193.792313362228
"201","dhar1248","Dharumbal","Australia",-23.307,150.593,"dhar1248","xgm","AU","pama1250","",FALSE,FALSE,17.8671070042373,TRUE,611.690138874527
"202","tesa1236","Tesaka Malagasy","Africa",-23.3,47.33,"tesa1236","tkg","MG","aust1307","",FALSE,FALSE,33.7648142926692,TRUE,2.03047849430143
"203","pint1250","Pintupi-Luritja","Australia",-23.2963,130.643,"pint1250","piu","AU","pama1250","",FALSE,FALSE,813.643915864905,TRUE,293.334780474792
"204","wich1264","Wichí Lhamtés Güisnay","South America",-23.1633,-62.1757,"wich1264","mzh","AR;BO;PY","mata1289","",FALSE,FALSE,752.626170580393,TRUE,177.046623233469
"205","pait1247","Pai Tavytera","South America",-23.15945,-56.11758,"pait1247","pta","BR;PY","tupi1275","",FALSE,FALSE,739.16785218836,TRUE,482.988201126242
"206","kunz1244","Kunza","South America",-23,-69,"kunz1244","kuz","CL","","",TRUE,TRUE,120.87580855467,TRUE,0
"207","tswa1255","Tswa","Africa",-22.9891,32.4287,"tswa1255","tsc","MZ;ZA;ZW","atla1278","",FALSE,FALSE,250.136428258821,TRUE,224.255064542408
"208","burd1238","Burduna","Australia",-22.9646,114.658,"burd1238","bxn","AU","pama1250","",FALSE,FALSE,54.2887736568345,TRUE,1669.79385001382
"209","yinh1234","Yinhawangka","Australia",-22.9178,117.5628,"yinh1234","ywg","AU","pama1250","",FALSE,FALSE,221.727727483441,TRUE,1385.62405670546
"210","nija1241","Nyiyaparli","Australia",-22.8558,120.831,"nija1241","xny","AU","pama1250","",FALSE,FALSE,304.346570994283,TRUE,1072.09265764105
"211","niva1238","Nivaclé","South America",-22.8557,-61.7606,"niva1238","cag","AR;BO;PY","mata1289","",FALSE,FALSE,787.015778818837,TRUE,209.000091272544
"212","anga1316","Angaité","South America",-22.85,-58.45,"anga1316","aqt","PY","leng1261","",FALSE,FALSE,957.530491707339,TRUE,516.998291022992
"213","tjur1240","Tjurruru","Australia",-22.842,118.267,"tjur1240","tju","AU","pama1250","",FALSE,FALSE,229.426778773475,TRUE,1319.58720593041
