"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Countries","Family_ID","Language_ID","IsolateNarrow","IsolateWide"
"1037","amah1246","Amahuaca","South America",-10.2012,-72.3208,"amah1246","amc","BR;PE","pano1259","",FALSE,FALSE
"1038","kari1317","Karipúna","South America",-10.2006,-64.2807,"kari1317","kuq","BR","tupi1275","",FALSE,FALSE
"1039","duau1237","Duau","Papunesia",-10.187,151.218,"duau1237","dva","PG","aust1307","",FALSE,FALSE
"1040","natu1248","Natú","South America",-10.1856656,-36.8493409,"natu1248","","BR","uncl1493","",FALSE,TRUE
"1041","chiq1249","Chiquián Ancash Quechua","South America",-10.1831,-77.4152,"chiq1249","qxa","PE","quec1387","",FALSE,FALSE
"1042","pile1238","Vaeakau-Taumako","Papunesia",-10.173335,166.247188,"pile1238","piv","SB","aust1307","",FALSE,FALSE
"1043","dawa1242","Dawawa","Papunesia",-10.1692,149.999,"dawa1242","dww","PG","aust1307","",FALSE,FALSE
"1044","kana1288","Kanasi","Papunesia",-10.1658,149.751,"kana1288","soq","PG","daga1274","",FALSE,FALSE
"1045","laua1245","Laua","Papunesia",-10.16145,149.25747,"laua1245","luf","PG","mail1249","",FALSE,FALSE
"1046","domu1245","Domu","Papunesia",-10.151,148.45,"domu1245","dof","PG","mail1249","",FALSE,FALSE
"1047","ooku1235","Ooku","Papunesia",-10.13509,149.100566,"ooku1235","","PG","mail1249","",FALSE,FALSE
"1048","keap1239","Keapara","Papunesia",-10.1342,147.95,"keap1239","khz","PG","aust1307","",FALSE,FALSE
"1049","bina1274","Binahari-Ma","Papunesia",-10.133855,148.723092,"bina1274","","PG","mail1249","",FALSE,FALSE
"1050","mora1273","Morawa","Papunesia",-10.1321,148.671,"mora1273","mze","PG","mail1249","",FALSE,FALSE
"1051","weda1241","Wedau","Papunesia",-10.1246,150.172,"weda1241","wed","PG","aust1307","",FALSE,FALSE
"1052","auhe1237","'Auhelawa","Papunesia",-10.0959,151.002,"auhe1237","kud","PG","aust1307","",FALSE,FALSE
"1053","bina1275","Binahari-Neme","Papunesia",-10.0874,148.835,"bina1275","bxz","PG","mail1249","",FALSE,FALSE
"1054","yaka1275","Yakaikeke","Papunesia",-10.0852,149.982,"yaka1275","ykk","PG","aust1307","",FALSE,FALSE
"1055","buna1276","Bunama","Papunesia",-10.0761,151.066,"buna1276","bdd","PG","aust1307","",FALSE,FALSE
"1056","raka1237","Rakahanga-Manihiki","Papunesia",-10.03,-161.09,"raka1237","rkh","CK","aust1307","",FALSE,FALSE
"1057","ginu1240","Ginuman","Papunesia",-10.0298,149.7,"ginu1240","gnm","PG","daga1274","",FALSE,FALSE
"1058","sewa1251","Sewa Bay","Papunesia",-10.0277,150.956,"sewa1251","sew","PG","aust1307","",FALSE,FALSE
"1059","mwat1237","Mwatebu","Papunesia",-10.0271,151.066,"mwat1237","mwa","PG","aust1307","",FALSE,FALSE
"1060","sang1331","Sanga (Democratic Republic of Congo)","Africa",-10.0236,26.8462,"sang1331","sng","CD","atla1278","",FALSE,FALSE
"1061","nyik1246","Nyika (Malawi and Zambia)","Africa",-10.0231,33.481,"nyik1246","nkv","MW;ZM","atla1278","",FALSE,FALSE
"1062","ghay1237","Ghayavi","Papunesia",-10.011,149.84,"ghay1237","bmk","PG","aust1307","",FALSE,FALSE
"1063","kari1312","Karipuna","South America",-10,-65.5,"kari1312","","BR","pano1259","",FALSE,FALSE
"1064","clas1251","Classical Quechua","South America",-9.99999,-76.5,"clas1251","qwc","PE","quec1387","",FALSE,FALSE
"1065","hula1239","Hula","Papunesia",-9.99427,147.705,"hula1239","hul","PG","aust1307","",FALSE,FALSE
